
  0%|          | 0/10000 [00:00<?, ?it/s]
Building Graph:  13%|█▎        | 1322/10000 [00:09<01:35, 90.47it/s]
Building Graph:  13%|█▎        | 1332/10000 [00:09<01:37, 88.91it/s]
Building Graph:  13%|█▎        | 1342/10000 [00:09<01:36, 90.08it/s]
Building Graph:  14%|█▎        | 1352/10000 [00:10<01:36, 89.39it/s]
Building Graph:  14%|█▎        | 1362/10000 [00:10<01:35, 90.87it/s]
Building Graph:  14%|█▎        | 1372/10000 [00:10<01:35, 90.21it/s]
Building Graph:  14%|█▍        | 1382/10000 [00:10<01:35, 90.20it/s]
Building Graph:  14%|█▍        | 1392/10000 [00:10<01:36, 89.39it/s]
Building Graph:  14%|█▍        | 1402/10000 [00:10<01:35, 90.15it/s]
Building Graph:  14%|█▍        | 1412/10000 [00:10<01:33, 91.81it/s]
Building Graph:  14%|█▍        | 1422/10000 [00:10<01:35, 89.61it/s]
Building Graph:  14%|█▍        | 1431/10000 [00:10<01:36, 89.12it/s]
Building Graph:  14%|█▍        | 1441/10000 [00:11<01:35, 89.67it/s]
Building Graph:  14%|█▍        | 1450/10000 [00:11<01:38, 87.21it/s]
Building Graph:  15%|█▍        | 1459/10000 [00:11<01:39, 86.11it/s]
Building Graph:  15%|█▍        | 1468/10000 [00:11<01:38, 86.99it/s]
Building Graph:  15%|█▍        | 1477/10000 [00:11<01:37, 87.68it/s]
Building Graph:  15%|█▍        | 1486/10000 [00:11<01:37, 87.48it/s]
Building Graph:  15%|█▍        | 1495/10000 [00:11<01:38, 86.58it/s]
Building Graph:  15%|█▌        | 1504/10000 [00:11<01:37, 87.11it/s]
Building Graph:  15%|█▌        | 1513/10000 [00:11<01:39, 85.60it/s]
Building Graph:  15%|█▌        | 1522/10000 [00:12<01:39, 84.98it/s]
Building Graph:  15%|█▌        | 1531/10000 [00:12<01:39, 85.33it/s]
Building Graph:  15%|█▌        | 1540/10000 [00:12<01:39, 85.31it/s]
Building Graph:  15%|█▌        | 1549/10000 [00:12<01:37, 86.61it/s]
Building Graph:  16%|█▌        | 1558/10000 [00:12<01:38, 86.14it/s]
Building Graph:  16%|█▌        | 1567/10000 [00:12<01:38, 85.44it/s]
Building Graph:  16%|█▌        | 1576/10000 [00:12<01:38, 85.84it/s]
Building Graph:  16%|█▌        | 1585/10000 [00:12<01:38, 85.63it/s]
Building Graph:  16%|█▌        | 1594/10000 [00:12<01:38, 85.08it/s]
Building Graph:  16%|█▌        | 1603/10000 [00:12<01:38, 85.06it/s]
Building Graph:  16%|█▌        | 1612/10000 [00:13<01:38, 84.93it/s]
Building Graph:  16%|█▌        | 1621/10000 [00:13<01:40, 83.00it/s]
Building Graph:  16%|█▋        | 1630/10000 [00:13<01:39, 84.52it/s]
Building Graph:  16%|█▋        | 1639/10000 [00:13<01:39, 84.08it/s]
Building Graph:  16%|█▋        | 1648/10000 [00:13<01:38, 85.09it/s]
Building Graph:  17%|█▋        | 1657/10000 [00:13<01:38, 84.83it/s]
Building Graph:  17%|█▋        | 1666/10000 [00:13<01:40, 83.04it/s]
Building Graph:  17%|█▋        | 1675/10000 [00:13<01:40, 82.47it/s]
Building Graph:  17%|█▋        | 1684/10000 [00:13<01:40, 82.96it/s]
Building Graph:  17%|█▋        | 1693/10000 [00:14<01:39, 83.53it/s]
Building Graph:  17%|█▋        | 1702/10000 [00:14<01:40, 82.31it/s]
Building Graph:  17%|█▋        | 1711/10000 [00:14<01:38, 84.04it/s]
Building Graph:  17%|█▋        | 1720/10000 [00:14<01:40, 82.31it/s]
Building Graph:  17%|█▋        | 1729/10000 [00:14<01:39, 83.22it/s]
Building Graph:  17%|█▋        | 1738/10000 [00:14<01:40, 82.39it/s]
Building Graph:  17%|█▋        | 1747/10000 [00:14<01:38, 84.20it/s]
Building Graph:  18%|█▊        | 1756/10000 [00:14<01:38, 83.71it/s]
Building Graph:  18%|█▊        | 1765/10000 [00:14<01:40, 82.26it/s]
Building Graph:  18%|█▊        | 1774/10000 [00:15<01:40, 81.46it/s]
Building Graph:  18%|█▊        | 1783/10000 [00:15<01:40, 81.79it/s]
Building Graph:  18%|█▊        | 1792/10000 [00:15<01:42, 80.09it/s]
Building Graph:  18%|█▊        | 1801/10000 [00:15<01:42, 79.81it/s]
Building Graph:  18%|█▊        | 1810/10000 [00:15<01:41, 80.54it/s]
Building Graph:  18%|█▊        | 1819/10000 [00:15<01:41, 80.21it/s]
Building Graph:  18%|█▊        | 1828/10000 [00:15<01:42, 79.39it/s]
Building Graph:  18%|█▊        | 1837/10000 [00:15<01:41, 80.29it/s]
Building Graph:  18%|█▊        | 1846/10000 [00:15<01:40, 80.87it/s]
Building Graph:  19%|█▊        | 1855/10000 [00:16<01:40, 80.66it/s]
Building Graph:  19%|█▊        | 1864/10000 [00:16<01:40, 80.62it/s]
Building Graph:  19%|█▊        | 1873/10000 [00:16<01:41, 79.87it/s]
Building Graph:  19%|█▉        | 1882/10000 [00:16<01:41, 80.37it/s]
Building Graph:  19%|█▉        | 1891/10000 [00:16<01:40, 80.87it/s]
Building Graph:  19%|█▉        | 1900/10000 [00:16<01:42, 79.12it/s]
Building Graph:  19%|█▉        | 1909/10000 [00:16<01:41, 79.80it/s]
Building Graph:  19%|█▉        | 1917/10000 [00:16<01:41, 79.40it/s]
Building Graph:  19%|█▉        | 1925/10000 [00:16<01:42, 78.71it/s]
Building Graph:  19%|█▉        | 1934/10000 [00:17<01:39, 80.83it/s]
Building Graph:  19%|█▉        | 1943/10000 [00:17<01:39, 81.12it/s]
Building Graph:  20%|█▉        | 1952/10000 [00:17<01:39, 80.53it/s]
Building Graph:  20%|█▉        | 1961/10000 [00:17<01:41, 79.31it/s]
Building Graph:  20%|█▉        | 1969/10000 [00:17<01:41, 79.16it/s]
Building Graph:  20%|█▉        | 1978/10000 [00:17<01:39, 80.58it/s]
Building Graph:  20%|█▉        | 1987/10000 [00:17<01:40, 79.83it/s]
Building Graph:  20%|█▉        | 1995/10000 [00:17<01:41, 79.07it/s]
Building Graph:  20%|██        | 2003/10000 [00:17<01:42, 78.24it/s]
Building Graph:  20%|██        | 2011/10000 [00:18<01:42, 77.82it/s]
Building Graph:  20%|██        | 2019/10000 [00:18<01:42, 77.81it/s]
Building Graph:  20%|██        | 2028/10000 [00:18<01:41, 78.37it/s]
Building Graph:  20%|██        | 2036/10000 [00:18<01:41, 78.19it/s]
Building Graph:  20%|██        | 2044/10000 [00:18<01:42, 77.69it/s]
Building Graph:  21%|██        | 2053/10000 [00:18<01:41, 78.21it/s]
Building Graph:  21%|██        | 2061/10000 [00:18<01:41, 78.13it/s]
Building Graph:  21%|██        | 2070/10000 [00:18<01:39, 79.96it/s]
Building Graph:  21%|██        | 2078/10000 [00:18<01:41, 77.87it/s]
Building Graph:  21%|██        | 2086/10000 [00:18<01:42, 77.35it/s]
Building Graph:  21%|██        | 2094/10000 [00:19<01:43, 76.68it/s]
Building Graph:  21%|██        | 2103/10000 [00:19<01:41, 77.75it/s]
Building Graph:  21%|██        | 2111/10000 [00:19<01:41, 78.03it/s]
Building Graph:  21%|██        | 2119/10000 [00:19<01:43, 76.37it/s]
Building Graph:  21%|██▏       | 2127/10000 [00:19<01:44, 75.67it/s]
Building Graph:  21%|██▏       | 2135/10000 [00:19<01:43, 75.83it/s]
Building Graph:  21%|██▏       | 2143/10000 [00:19<01:43, 76.10it/s]
Building Graph:  22%|██▏       | 2151/10000 [00:19<01:45, 74.40it/s]
Building Graph:  22%|██▏       | 2159/10000 [00:19<01:44, 74.83it/s]
Building Graph:  22%|██▏       | 2167/10000 [00:20<01:43, 75.41it/s]
Building Graph:  22%|██▏       | 2175/10000 [00:20<01:44, 74.66it/s]
Building Graph:  22%|██▏       | 2183/10000 [00:20<01:44, 75.11it/s]
Building Graph:  22%|██▏       | 2191/10000 [00:20<01:42, 76.09it/s]
Building Graph:  22%|██▏       | 2199/10000 [00:20<01:42, 75.95it/s]
Building Graph:  22%|██▏       | 2207/10000 [00:20<01:42, 75.85it/s]
Building Graph:  22%|██▏       | 2215/10000 [00:20<01:45, 73.99it/s]
Building Graph:  22%|██▏       | 2223/10000 [00:20<01:44, 74.35it/s]
Building Graph:  22%|██▏       | 2231/10000 [00:20<01:43, 74.80it/s]
Building Graph:  22%|██▏       | 2239/10000 [00:21<01:43, 74.99it/s]
Building Graph:  22%|██▏       | 2247/10000 [00:21<01:43, 74.87it/s]
Building Graph:  23%|██▎       | 2255/10000 [00:21<01:44, 73.91it/s]
Building Graph:  23%|██▎       | 2263/10000 [00:21<01:45, 73.21it/s]
Building Graph:  23%|██▎       | 2271/10000 [00:21<01:45, 73.56it/s]
Building Graph:  23%|██▎       | 2279/10000 [00:21<01:45, 73.44it/s]
Building Graph:  23%|██▎       | 2287/10000 [00:21<01:45, 73.27it/s]
Building Graph:  23%|██▎       | 2295/10000 [00:21<01:44, 73.61it/s]
Building Graph:  23%|██▎       | 2303/10000 [00:21<01:43, 74.40it/s]
Building Graph:  23%|██▎       | 2311/10000 [00:21<01:42, 74.86it/s]
Building Graph:  23%|██▎       | 2319/10000 [00:22<01:44, 73.64it/s]
Building Graph:  23%|██▎       | 2327/10000 [00:22<01:45, 72.56it/s]
Building Graph:  23%|██▎       | 2335/10000 [00:22<01:44, 73.07it/s]
Building Graph:  23%|██▎       | 2343/10000 [00:22<01:43, 73.65it/s]
Building Graph:  24%|██▎       | 2351/10000 [00:22<01:45, 72.53it/s]
Building Graph:  24%|██▎       | 2359/10000 [00:22<01:45, 72.24it/s]
Building Graph:  24%|██▎       | 2367/10000 [00:22<01:45, 72.28it/s]
Building Graph:  24%|██▍       | 2375/10000 [00:22<01:45, 72.41it/s]
Building Graph:  24%|██▍       | 2383/10000 [00:22<01:43, 73.40it/s]
Building Graph:  24%|██▍       | 2391/10000 [00:23<01:46, 71.51it/s]
Building Graph:  24%|██▍       | 2399/10000 [00:23<01:46, 71.40it/s]
Building Graph:  24%|██▍       | 2407/10000 [00:23<01:48, 70.23it/s]
Building Graph:  24%|██▍       | 2415/10000 [00:23<01:47, 70.87it/s]
Building Graph:  24%|██▍       | 2423/10000 [00:23<01:46, 71.09it/s]
Building Graph:  24%|██▍       | 2431/10000 [00:23<01:47, 70.63it/s]
Building Graph:  24%|██▍       | 2439/10000 [00:23<01:47, 70.44it/s]
Building Graph:  24%|██▍       | 2447/10000 [00:23<01:45, 71.57it/s]
Building Graph:  25%|██▍       | 2455/10000 [00:23<01:44, 72.06it/s]
Building Graph:  25%|██▍       | 2463/10000 [00:24<01:44, 71.81it/s]
Building Graph:  25%|██▍       | 2471/10000 [00:24<01:47, 70.19it/s]
Building Graph:  25%|██▍       | 2479/10000 [00:24<01:46, 70.35it/s]
Building Graph:  25%|██▍       | 2487/10000 [00:24<01:45, 71.03it/s]
Building Graph:  25%|██▍       | 2495/10000 [00:24<01:46, 70.37it/s]
Building Graph:  25%|██▌       | 2503/10000 [00:24<01:46, 70.46it/s]
Building Graph:  25%|██▌       | 2511/10000 [00:24<01:47, 69.50it/s]
Building Graph:  25%|██▌       | 2519/10000 [00:24<01:46, 70.23it/s]
Building Graph:  25%|██▌       | 2527/10000 [00:25<01:46, 70.15it/s]
Building Graph:  25%|██▌       | 2535/10000 [00:25<01:47, 69.48it/s]
Building Graph:  25%|██▌       | 2542/10000 [00:25<01:47, 69.58it/s]
Building Graph:  26%|██▌       | 2550/10000 [00:25<01:45, 70.37it/s]
Building Graph:  26%|██▌       | 2558/10000 [00:25<01:45, 70.39it/s]
Building Graph:  26%|██▌       | 2566/10000 [00:25<01:46, 69.57it/s]
Building Graph:  26%|██▌       | 2574/10000 [00:25<01:45, 70.47it/s]
Building Graph:  26%|██▌       | 2582/10000 [00:25<01:46, 69.85it/s]
Building Graph:  26%|██▌       | 2590/10000 [00:25<01:44, 70.91it/s]
Building Graph:  26%|██▌       | 2598/10000 [00:26<01:43, 71.41it/s]
Building Graph:  26%|██▌       | 2606/10000 [00:26<01:42, 71.83it/s]
Building Graph:  26%|██▌       | 2614/10000 [00:26<01:44, 70.50it/s]
Building Graph:  26%|██▌       | 2622/10000 [00:26<01:44, 70.71it/s]
Building Graph:  26%|██▋       | 2630/10000 [00:26<01:46, 69.12it/s]
Building Graph:  26%|██▋       | 2637/10000 [00:26<01:47, 68.31it/s]
Building Graph:  26%|██▋       | 2644/10000 [00:26<01:47, 68.72it/s]
Building Graph:  27%|██▋       | 2651/10000 [00:26<01:46, 68.96it/s]
Building Graph:  27%|██▋       | 2658/10000 [00:26<01:47, 68.15it/s]
Building Graph:  27%|██▋       | 2666/10000 [00:27<01:46, 68.75it/s]
Building Graph:  27%|██▋       | 2673/10000 [00:27<01:46, 69.07it/s]
Building Graph:  27%|██▋       | 2680/10000 [00:27<01:46, 68.91it/s]
Building Graph:  27%|██▋       | 2687/10000 [00:27<01:47, 68.27it/s]
Building Graph:  27%|██▋       | 2695/10000 [00:27<01:42, 71.18it/s]
Building Graph:  27%|██▋       | 2703/10000 [00:27<01:42, 71.37it/s]
Building Graph:  27%|██▋       | 2711/10000 [00:27<01:42, 71.19it/s]
Building Graph:  27%|██▋       | 2719/10000 [00:27<01:43, 70.37it/s]
Building Graph:  27%|██▋       | 2727/10000 [00:27<01:41, 71.54it/s]
Building Graph:  27%|██▋       | 2735/10000 [00:28<01:43, 70.13it/s]
Building Graph:  27%|██▋       | 2743/10000 [00:28<01:45, 68.64it/s]
Building Graph:  28%|██▊       | 2750/10000 [00:28<01:45, 68.66it/s]
Building Graph:  28%|██▊       | 2757/10000 [00:28<01:45, 68.68it/s]
Building Graph:  28%|██▊       | 2764/10000 [00:28<01:45, 68.74it/s]
Building Graph:  28%|██▊       | 2771/10000 [00:28<01:45, 68.26it/s]
Building Graph:  28%|██▊       | 2778/10000 [00:28<01:45, 68.59it/s]
Building Graph:  28%|██▊       | 2785/10000 [00:28<01:46, 68.02it/s]
Building Graph:  28%|██▊       | 2792/10000 [00:28<01:45, 68.46it/s]
Building Graph:  28%|██▊       | 2799/10000 [00:28<01:45, 68.49it/s]
Building Graph:  28%|██▊       | 2806/10000 [00:29<01:45, 68.36it/s]
Building Graph:  28%|██▊       | 2813/10000 [00:29<01:44, 68.45it/s]
Building Graph:  28%|██▊       | 2821/10000 [00:29<01:43, 69.66it/s]
